"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","Facebook",1,13,1.44556289026562,0.0209341041358937,"[1.28, 1.61]",1.28222253147496,1.61113169703332,0.0725178639486113,0.00478732215611702
"2","Facebook",10,12,1.07951683793295,0.0124486394236781,"[0.98, 1.17]",0.984531991672331,1.17435970699187,0.0412874661187664,0.00275154189451591
"3","Facebook",11,11,1.48890502316586,0.0313532956010165,"[1.26, 1.72]",1.25747640392183,1.72087187691318,0.0991478262517501,0.00668374874237222
"4","Facebook",2,20,1.28838146839705,0.0129607719416659,"[1.17, 1.41]",1.16743647530707,1.41006959478798,0.0564946951239991,0.00359214656291825
"5","Facebook",4,13,2.45580176687482,0.0544105249570205,"[2.03, 2.88]",2.02685657202542,2.88173530220816,0.188483587384108,0.0124428879287975
"6","Facebook",5,10,1.75695078736618,0.0198220523970441,"[1.62, 1.9]",1.61520596551646,1.89880280697121,0.0594661571911322,0.00406595106906082
"7","Facebook",6,3,6.96077887202141,0.486198607331034,"[3.35, 10.6]",3.34949111730647,10.5961968925355,0.687588664494459,0.0870897283254342
"8","Facebook",7,8,2.03507692123854,0.0271054370893544,"[1.85, 2.22]",1.85458697358336,2.21715837352925,0.0717142457161383,0.0051111100139209
"9","Facebook",8,13,1.20971951965062,0.0103163948394984,"[1.13, 1.29]",1.1281327583376,1.29022026856509,0.0357370400259053,0.0023592079826192
"10","Facebook",9,4,3.41024117781898,0.142974245594104,"[2.49, 4.31]",2.49189604656562,4.31192748513236,0.247638657542819,0.0233869571075997
"11","Google_Ads",1,13,1.34289756935924,0.0182405154850372,"[1.2, 1.49]",1.2003620978399,1.48695056078975,0.0631869991526625,0.00417133799247656
"12","Google_Ads",10,12,0.943132986849862,0.00807157030208411,"[0.88, 1]",0.88149903451972,1.00458138089818,0.0267703701609886,0.00178407158283269
"13","Google_Ads",11,11,0.9501779755833,0.0152926746528007,"[0.84, 1.06]",0.836946368692029,1.06296905843465,0.0483596834187748,0.00326002077353712
"14","Google_Ads",2,20,1.05267237544837,0.0112643250464452,"[0.95, 1.16]",0.947138043147011,1.15801269916034,0.0491000545446489,0.00312196732426891
"15","Google_Ads",4,13,2.42437256359364,0.0560957564322355,"[1.98, 2.86]",1.98186242354423,2.86321890862336,0.194321400459281,0.0128282756161383
"16","Google_Ads",5,10,1.66883304595155,0.0326376971958811,"[1.44, 1.9]",1.43549013465087,1.90244217633193,0.0979130915876432,0.00669472954400349
"17","Google_Ads",6,3,6.98161450286945,0.482258969026396,"[3.4, 10.59]",3.39997557926683,10.5879617299967,0.682017174573196,0.0863840454532952
"18","Google_Ads",7,8,1.9916220564682,0.0233974653102497,"[1.84, 2.15]",1.83618446065059,2.14915678885018,0.0619038745201815,0.0044119199721207
"19","Google_Ads",8,13,0.942800128479912,0.0114120052786489,"[0.85, 1.03]",0.853290615321154,1.03259196536614,0.0395323459177282,0.00260975799879233
"20","Google_Ads",9,4,3.4185208499677,0.144836411140011,"[2.49, 4.33]",2.48846898644868,4.33220539246099,0.250864022880434,0.0236915601189211
"21","TikTok",1,13,1.47875147974828,0.0166179906032095,"[1.35, 1.61]",1.34900814755915,1.61010407920624,0.0575664080889221,0.00380029038207003
"22","TikTok",10,12,1.13876613922911,0.00718098810732854,"[1.08, 1.19]",1.08420326294646,1.19370523498994,0.0238166431760131,0.00158722483227785
"23","TikTok",11,11,1.284337174081,0.0192901862752294,"[1.14, 1.43]",1.14259151839533,1.42769663483519,0.0610009251186445,0.00411219158259746
"24","TikTok",2,20,1.28263240694118,0.0084933175751315,"[1.2, 1.36]",1.20328890117387,1.36228870051231,0.0370215130053961,0.00235396793282055
"25","TikTok",4,13,2.46816400777339,0.0557807491587055,"[2.03, 2.9]",2.0284708345995,2.90487803793201,0.193230183254266,0.0127562380792024
"26","TikTok",5,10,1.76279775392884,0.0188293354758404,"[1.63, 1.9]",1.62787393224098,1.8972678355906,0.0564880064275213,0.00386232238590566
"27","TikTok",6,3,6.97496881500879,0.487884281815547,"[3.35, 10.62]",3.35158354813834,10.6234140087077,0.689972568212205,0.0873916726969068
"28","TikTok",7,8,2.04625060558568,0.0275163860873576,"[1.86, 2.23]",1.86330815568684,2.23137654699359,0.0728015145663859,0.00518860020645979
"29","TikTok",8,13,1.188806756799,0.0151315362334863,"[1.07, 1.31]",1.06966756070073,1.30740885232059,0.0524171791059354,0.00346036009931045
"30","TikTok",9,4,3.40357461771939,0.143484301497332,"[2.48, 4.31]",2.48186437359366,4.30838871425926,0.248522100281911,0.0234703893053477
